variable,value,Description
Number of countries,110,number of countries
Africa,42,number of countries
Eastern Mediterranean,12,number of countries
Europe,16,number of countries
South-East Asia,9,number of countries
The Americas,19,number of countries
Western Pacific,12,number of countries
ICER-median,220(IQR =1171.75),ICER with IQR - median global
ICER-mean,2699.6( sd=6864),ICER with sd - mean global
Africa,112(IQR=152.25),ICER - Median with IQR (Regional)
Eastern Mediterranean,1066(IQR=4269.75),ICER - Median with IQR (Regional)
Europe,1131(IQR=1619),ICER - Median with IQR (Regional)
South-East Asia,83(IQR=154),ICER - Median with IQR (Regional)
The Americas,1118(IQR=4677.5),ICER - Median with IQR (Regional)
Western Pacific,97(IQR=911.5),ICER - Median with IQR (Regional)
Buffer,10.75(IQR=11.45),Buffer size- Median with IQR (Global)
Africa,11.5(IQR=7.8),Buffer size- Median wz IQR (Regional)
Eastern Mediterranean,3.1(IQR=12),Buffer size- Median wz IQR (Regional)
Europe,3.9(IQR=5.45),Buffer size- Median wz IQR (Regional)
South-East Asia,15.4(IQR=5.8),Buffer size- Median wz IQR (Regional)
The Americas,6.1(IQR=7.225),Buffer size- Median wz IQR (Regional)
Western Pacific,17(IQR=2.6),Buffer size- Median wz IQR (Regional)
ICER/GDP,0.5(sd=1.3),ICER to GDP ratio - mean wz sd (Global)
ICER/GDP,0.1(IQR=0.5),ICER to GDP ratio - median with IQR (Global)
Africa,0.07(IQR=0.18),ICER to GDP ratio - median with IQR (Regional)
Eastern Mediterranean,0.41(IQR=1.58),ICER to GDP ratio - median with IQR (Regional)
Europe,0.15(IQR=0.24),ICER to GDP ratio - median with IQR (Regional)
South-East Asia,0.03(IQR=0.04),ICER to GDP ratio - median with IQR (Regional)
The Americas,0.15(IQR=0.49),ICER to GDP ratio - median with IQR (Regional)
Western Pacific,0.02(IQR=0.23),ICER to GDP ratio - median with IQR (Regional)
prop_cost_effect,0.75,Proportion of countries with ICER <GDP/2
prop_cost_effect,0.72,Proportion of countries with ICER <GDP/3
Africa,0.79,Proportion of countries with ICER <GDP/2 (Regional)
Eastern Mediterranean,0.67,Proportion of countries with ICER <GDP/2 (Regional)
Europe,0.81,Proportion of countries with ICER <GDP/2 (Regional)
South-East Asia,0.89,Proportion of countries with ICER <GDP/2 (Regional)
The Americas,0.63,Proportion of countries with ICER <GDP/2 (Regional)
Western Pacific,0.75,Proportion of countries with ICER <GDP/2 (Regional)
Africa,0.76,Proportion of countries with ICER <GDP/3 (Regional)
Eastern Mediterranean,0.5,Proportion of countries with ICER <GDP/3 (Regional)
Europe,0.75,Proportion of countries with ICER <GDP/3 (Regional)
South-East Asia,0.89,Proportion of countries with ICER <GDP/3 (Regional)
The Americas,0.63,Proportion of countries with ICER <GDP/3 (Regional)
Western Pacific,0.75,Proportion of countries with ICER <GDP/3 (Regional)
Prop death averted,0.79,Prop avert deaths in top 10 cntrs by death aversion
Prop death averted,0.55,Prop avert deaths in top 3 cntrs by death aversion
Unit cost,3.1(IQR=3.15),Unit cost for vaccine delivery - median with IQR (Global)
Unit cost,575.84(IQR=1136.03),Unit cost for TB treatment - median with IQR (Global)
Unit cost,618.1(IQR=1333.61),Unit cost for TBM treatment - median with IQR (Global)
Africa,2.2(IQR=1.99),Unit cost for vaccine delivery - median with IQR (Global)
Eastern Mediterranean,2.48(IQR=3.29),Unit cost for vaccine delivery - median with IQR (Global)
Europe,6.03(IQR=2.93),Unit cost for vaccine delivery - median with IQR (Global)
South-East Asia,2.24(IQR=2.05),Unit cost for vaccine delivery - median with IQR (Global)
The Americas,3.42(IQR=2.9),Unit cost for vaccine delivery - median with IQR (Global)
Western Pacific,4.92(IQR=5.74),Unit cost for vaccine delivery - median with IQR (Global)
Africa,338.65(IQR=342.25),Unit cost for TB treatment - median with IQR (Global)
Eastern Mediterranean,477.56(IQR=414.89),Unit cost for TB treatment - median with IQR (Global)
Europe,2149.73(IQR=2002.85),Unit cost for TB treatment - median with IQR (Global)
South-East Asia,285.41(IQR=285.22),Unit cost for TB treatment - median with IQR (Global)
The Americas,1845.4(IQR=1520.97),Unit cost for TB treatment - median with IQR (Global)
Western Pacific,595.46(IQR=781.16),Unit cost for TB treatment - median with IQR (Global)
Africa,374.12(IQR=347.18),Unit cost for TBM treatment - median with IQR (Global)
Eastern Mediterranean,521.69(IQR=560.12),Unit cost for TBM treatment - median with IQR (Global)
Europe,2670(IQR=2535.36),Unit cost for TBM treatment - median with IQR (Global)
South-East Asia,337.73(IQR=329.45),Unit cost for TBM treatment - median with IQR (Global)
The Americas,1943.62(IQR=1578.93),Unit cost for TBM treatment - median with IQR (Global)
Western Pacific,657.81(IQR=937.7),Unit cost for TBM treatment - median with IQR (Global)
BCG doses,3906902,BCG doses - Number of doses (Global)
AFR,3046099,BCG doses - Number of doses (Regional)
AMR,1574925,BCG doses - Number of doses (Regional)
EMR,5243379,BCG doses - Number of doses (Regional)
EUR,1084788,BCG doses - Number of doses (Regional)
SEA,14922069,BCG doses - Number of doses (Regional)
WPR,5204328,BCG doses - Number of doses (Regional)
Averted ATT,3077,Averted ATT -  Number (Global)
AFR,1921,Averted ATT- Number (Regional)
AMR,227,Averted ATT- Number (Regional)
EMR,4338,Averted ATT- Number (Regional)
EUR,171,Averted ATT- Number (Regional)
SEA,17625,Averted ATT- Number (Regional)
WPR,3343,Averted ATT- Number (Regional)
rslt_tb_deaths,1755,Averted ATT -  Number (Global)
rslt_tbm_deaths,446,Averted ATT -  Number (Global)
rslt_tbn_deaths,1308,Averted ATT -  Number (Global)
AFR,894,rslt_tb_deaths
AFR,210,rslt_tbm_deaths
AFR,684,rslt_tbn_deaths
AMR,117,rslt_tb_deaths
AMR,26,rslt_tbm_deaths
AMR,91,rslt_tbn_deaths
EMR,1175,rslt_tb_deaths
EMR,364,rslt_tbm_deaths
EMR,810,rslt_tbn_deaths
EUR,115,rslt_tb_deaths
EUR,34,rslt_tbm_deaths
EUR,81,rslt_tbn_deaths
SEA,12707,rslt_tb_deaths
SEA,3091,rslt_tbm_deaths
SEA,9616,rslt_tbn_deaths
WPR,1913,rslt_tb_deaths
WPR,588,rslt_tbm_deaths
WPR,1326,rslt_tbn_deaths
